txn_id,customer_id,txn_date,amount,status,source_file
TXN000001,CUST0047,2026-06-22,748.26,FAILED,feed_A
TXN000002,CUST0068,2026-06-22,116.8,REFUNDED,feed_A
TXN000003,CUST0011,2026-06-23,417.2,REFUNDED,feed_A
TXN000004,CUST0069,2026-06-21,310.38,FAILED,feed_A
TXN000005,CUST0028,2026-06-21,598.06,FAILED,feed_A
TXN000006,CUST0017,2026-06-23,189.02,PENDING,feed_A
TXN000007,CUST0033,2026-06-21,155.66,FAILED,feed_A
TXN000008,CUST0066,2026-06-22,300.0,FAILED,feed_A
TXN000009,CUST0053,2026-06-22,641.07,FAILED,feed_A
TXN000010,CUST0003,2026-06-21,73.92,PAID,feed_A
TXN000011,CUST0052,2026-06-21,331.8,FAILED,feed_A
TXN000012,CUST0070,2026-06-22,109.48,PENDING,feed_A
TXN000013,CUST0078,2026-06-22,899.6,PENDING,feed_A
TXN000014,CUST0023,2026-06-21,550.78,REFUNDED,feed_A
TXN000015,CUST0051,2026-06-22,40.08,PENDING,feed_A
TXN000016,CUST0041,2026-06-23,464.84,PENDING,feed_A
TXN000017,CUST0013,2026-06-21,400.14,PENDING,feed_A
TXN000018,CUST0036,2026-06-21,617.98,REFUNDED,feed_A
TXN000019,CUST0064,2026-06-23,496.93,FAILED,feed_A
TXN000020,CUST0030,2026-06-20,239.52,PAID,feed_A
TXN000021,CUST0006,2026-06-22,69.5,REFUNDED,feed_A
TXN000022,CUST0019,2026-06-21,588.83,PENDING,feed_A
TXN000023,CUST0031,2026-06-22,520.7,FAILED,feed_A
TXN000024,CUST0049,2026-06-23,31.86,PAID,feed_A
TXN000025,CUST0033,2026-06-20,825.45,PENDING,feed_A
TXN000026,CUST0002,2026-06-21,734.82,PAID,feed_A
TXN000027,CUST0079,2026-06-23,443.37,PENDING,feed_A
TXN000028,CUST0057,2026-06-23,165.17,PAID,feed_A
TXN000029,CUST0047,2026-06-21,424.82,REFUNDED,feed_A
TXN000030,CUST0034,2026-06-22,660.89,FAILED,feed_A
TXN000031,CUST0042,2026-06-23,916.78,PAID,feed_A
TXN000032,CUST0053,2026-06-20,433.78,REFUNDED,feed_A
TXN000033,CUST0036,2026-06-20,704.34,FAILED,feed_A
TXN000034,CUST0070,2026-06-23,44.7,PAID,feed_A
TXN000035,CUST0022,2026-06-22,847.64,PAID,feed_A
TXN000036,CUST0045,2026-06-20,465.3,FAILED,feed_A
TXN000037,CUST0023,2026-06-20,846.37,REFUNDED,feed_A
TXN000038,CUST0023,2026-06-22,404.64,FAILED,feed_A
TXN000039,CUST0031,2026-06-21,162.85,PAID,feed_A
TXN000040,CUST0026,2026-06-23,143.57,PAID,feed_A
TXN000041,CUST0079,2026-06-20,231.92,REFUNDED,feed_A
TXN000042,CUST0035,2026-06-21,13.4,PAID,feed_A
TXN000043,CUST0046,2026-06-22,128.44,FAILED,feed_A
TXN000044,CUST0007,2026-06-21,715.31,FAILED,feed_A
TXN000045,CUST0047,2026-06-22,816.02,REFUNDED,feed_A
TXN000046,CUST0022,2026-06-21,424.9,PENDING,feed_A
TXN000047,CUST0060,2026-06-20,737.03,PAID,feed_A
TXN000048,CUST0065,2026-06-22,911.7,FAILED,feed_A
TXN000049,CUST0021,2026-06-21,587.18,REFUNDED,feed_A
TXN000050,CUST0022,2026-06-21,835.16,PAID,feed_A
TXN000051,CUST0061,2026-06-20,537.97,REFUNDED,feed_A
TXN000052,CUST0006,2026-06-23,112.36,PAID,feed_A
TXN000053,CUST0045,2026-06-21,768.92,PENDING,feed_A
TXN000054,CUST0031,2026-06-20,283.89,REFUNDED,feed_A
TXN000055,CUST0060,2026-06-21,501.28,PAID,feed_A
TXN000056,CUST0032,2026-06-23,879.95,FAILED,feed_A
TXN000057,CUST0076,2026-06-22,710.72,REFUNDED,feed_A
TXN000058,CUST0061,2026-06-22,468.74,PAID,feed_A
